Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,DefaultCommandProcessingStrategy,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,DefaultCommandTargetResolver,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,DefaultDeviceCommunication,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): DeviceCommunication
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,DeviceCommandEventProcessor.CommandInvocationProcessor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: command
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,DeviceCommandEventProcessor.CommandInvocationProcessor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,DeviceCommandEventProcessor.ProcessorsThreadFactory,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: counter
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,DeviceCommandEventProcessor.ProcessorsThreadFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,DeviceCommunication,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,DeviceCommunicationDecorator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,DeviceStreamManager,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,DirectOutboundProcessingStrategy,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,InboundProcessingStrategyDecorator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,NestedDeviceSupport.NestedDeviceInformation,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: gateway; nested; path
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,NestedDeviceSupport.NestedDeviceInformation,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,NoOpCommandRouter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,NoOpCommandRouter,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): OutboundCommandRouter
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,NullParameters,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: LOGGER; parameters
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,NullParameters.Extractor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: LOGGER; parameters
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,NullParameters.Extractor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,PollingInboundEventReceiver,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,PollingInboundEventReceiver.Poller,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,PollingInboundEventReceiver.Poller,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,SingleChoiceCommandRouter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,SingleChoiceCommandRouter,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): OutboundCommandRouter
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,SpecificationMappingCommandRouter,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): OutboundCommandRouter
sitewhere-1.13.0-b85bf70,com.sitewhere.device.communication,StringInboundEventSource,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
