project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
teastore-1.4.0,bb671bc3-cfae-4655-91d2-197caea879dc,1,2023-02-10T19:19:26.704381200,0.0,false,INTERFACE,14,1,0.0,false,9,0,0.013572922754760082,0,INTERFACE,C:\Users\ale\Desktop\arcan-trial-2.8.2-teastore\projects\TeaStore-1.4.0-e1eea5c\services\tools.descartes.teastore.image\src\main\java\tools\descartes\teastore\image\storage\IDataStorage.java,services\tools.descartes.teastore.image\src\main\java\tools\descartes\teastore\image\storage\IDataStorage.java,tools.descartes.teastore.image.storage.IDataStorage,IDataStorage,28,unit
teastore-1.4.0,bb671bc3-cfae-4655-91d2-197caea879dc,1,2023-02-10T19:19:26.704381200,0.0,false,CONCRETE_CLASS,0,1,0.0,false,31,0,0.0030228446274814685,0,CONCRETE_CLASS,C:\Users\ale\Desktop\arcan-trial-2.8.2-teastore\projects\TeaStore-1.4.0-e1eea5c\services\tools.descartes.teastore.registry\src\main\java\tools\descartes\teastore\registry\rest\RegistryStartup.java,services\tools.descartes.teastore.registry\src\main\java\tools\descartes\teastore\registry\rest\RegistryStartup.java,tools.descartes.teastore.registry.rest.RegistryStartup,RegistryStartup,2588,unit
teastore-1.4.0,bb671bc3-cfae-4655-91d2-197caea879dc,1,2023-02-10T19:19:26.704381200,0.0,false,CONCRETE_CLASS,1,2,0.0,false,13,0,0.0031452746007111575,0,CONCRETE_CLASS,C:\Users\ale\Desktop\arcan-trial-2.8.2-teastore\projects\TeaStore-1.4.0-e1eea5c\services\tools.descartes.teastore.image\src\main\java\tools\descartes\teastore\image\storage\rules\StoreLargeImages.java,services\tools.descartes.teastore.image\src\main\java\tools\descartes\teastore\image\storage\rules\StoreLargeImages.java,tools.descartes.teastore.image.storage.rules.StoreLargeImages,StoreLargeImages,1565,unit
teastore-1.4.0,bb671bc3-cfae-4655-91d2-197caea879dc,1,2023-02-10T19:19:26.704381200,0.0,false,CONCRETE_CLASS,23,1,0.0,false,15,0,0.01499944654994633,0,CONCRETE_CLASS,C:\Users\ale\Desktop\arcan-trial-2.8.2-teastore\projects\TeaStore-1.4.0-e1eea5c\utilities\tools.descartes.teastore.registryclient\src\main\java\tools\descartes\teastore\registryclient\loadbalancers\LoadBalancerTimeoutException.java,utilities\tools.descartes.teastore.registryclient\src\main\java\tools\descartes\teastore\registryclient\loadbalancers\LoadBalancerTimeoutException.java,tools.descartes.teastore.registryclient.loadbalancers.LoadBalancerTimeoutException,LoadBalancerTimeoutException,545,unit
teastore-1.4.0,bb671bc3-cfae-4655-91d2-197caea879dc,1,2023-02-10T19:19:26.704381200,0.0,false,CONCRETE_CLASS,2,1,0.0,false,107,0,0.008161705708480665,0,CONCRETE_CLASS,C:\Users\ale\Desktop\arcan-trial-2.8.2-teastore\projects\TeaStore-1.4.0-e1eea5c\services\tools.descartes.teastore.registry\src\main\java\tools\descartes\teastore\registry\rest\Registry.java,services\tools.descartes.teastore.registry\src\main\java\tools\descartes\teastore\registry\rest\Registry.java,tools.descartes.teastore.registry.rest.Registry,Registry,2594,unit
teastore-1.4.0,bb671bc3-cfae-4655-91d2-197caea879dc,1,2023-02-10T19:19:26.704381200,0.0,false,ABSTRACT_CLASS,5,5,0.0,false,238,0,0.005824531236850233,0,ABSTRACT_CLASS,C:\Users\ale\Desktop\arcan-trial-2.8.2-teastore\projects\TeaStore-1.4.0-e1eea5c\services\tools.descartes.teastore.image\src\main\java\tools\descartes\teastore\image\cache\AbstractCache.java,services\tools.descartes.teastore.image\src\main\java\tools\descartes\teastore\image\cache\AbstractCache.java,tools.descartes.teastore.image.cache.AbstractCache,AbstractCache,36,unit
teastore-1.4.0,bb671bc3-cfae-4655-91d2-197caea879dc,1,2023-02-10T19:19:26.704381200,0.0,false,CONCRETE_CLASS,6,1,0.0,false,45,0,0.00551703827744167,0,CONCRETE_CLASS,C:\Users\ale\Desktop\arcan-trial-2.8.2-teastore\projects\TeaStore-1.4.0-e1eea5c\utilities\tools.descartes.teastore.registryclient\src\main\java\tools\descartes\teastore\registryclient\rest\HttpWrapper.java,utilities\tools.descartes.teastore.registryclient\src\main\java\tools\descartes\teastore\registryclient\rest\HttpWrapper.java,tools.descartes.teastore.registryclient.rest.HttpWrapper,HttpWrapper,553,unit
teastore-1.4.0,bb671bc3-cfae-4655-91d2-197caea879dc,1,2023-02-10T19:19:26.704381200,0.0,false,CONCRETE_CLASS,1,0,0.0,false,17,0,0.009960324158778273,0,CONCRETE_CLASS,C:\Users\ale\Desktop\arcan-trial-2.8.2-teastore\projects\TeaStore-1.4.0-e1eea5c\services\tools.descartes.teastore.registry\src\main\java\tools\descartes\teastore\registry\rest\HeartbeatInfo.java,services\tools.descartes.teastore.registry\src\main\java\tools\descartes\teastore\registry\rest\HeartbeatInfo.java,tools.descartes.teastore.registry.rest.HeartbeatInfo,HeartbeatInfo,2605,unit
teastore-1.4.0,bb671bc3-cfae-4655-91d2-197caea879dc,1,2023-02-10T19:19:26.704381200,0.0,false,INTERFACE,8,2,0.0,false,16,0,0.006331533187499842,0,INTERFACE,C:\Users\ale\Desktop\arcan-trial-2.8.2-teastore\projects\TeaStore-1.4.0-e1eea5c\services\tools.descartes.teastore.image\src\main\java\tools\descartes\teastore\image\cache\IDataCache.java,services\tools.descartes.teastore.image\src\main\java\tools\descartes\teastore\image\cache\IDataCache.java,tools.descartes.teastore.image.cache.IDataCache,IDataCache,49,unit
teastore-1.4.0,bb671bc3-cfae-4655-91d2-197caea879dc,1,2023-02-10T19:19:26.704381200,0.0,false,CONCRETE_CLASS,12,0,0.0,false,10,0,0.012229571520556391,0,CONCRETE_CLASS,C:\Users\ale\Desktop\arcan-trial-2.8.2-teastore\projects\TeaStore-1.4.0-e1eea5c\utilities\tools.descartes.teastore.registryclient\src\main\java\tools\descartes\teastore\registryclient\util\NotFoundException.java,utilities\tools.descartes.teastore.registryclient\src\main\java\tools\descartes\teastore\registryclient\util\NotFoundException.java,tools.descartes.teastore.registryclient.util.NotFoundException,NotFoundException,563,unit
