Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
sitewhere-2.1.0-0c184b5,com.sitewhere.event.persistence.cassandra,CassandraDeviceCommandInvocation,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INSTANCE; FIELD_INVOCATION; FIELD_INITIATOR; FIELD_INITIATOR_ID; FIELD_TARGET; FIELD_TARGET_ID; FIELD_COMMAND_ID; FIELD_COMMAND_PARAMS
sitewhere-2.1.0-0c184b5,com.sitewhere.event.persistence.cassandra,CassandraDeviceCommandResponse,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INSTANCE; FIELD_RESPONSE; FIELD_ORIGINATING_EVENT_ID; FIELD_RESPONSE_EVENT_ID; FIELD_RESPONSE_CONTENT
sitewhere-2.1.0-0c184b5,com.sitewhere.event.persistence.cassandra,CassandraDeviceEvent,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FIELD_DEVICE_ID; FIELD_EVENT_ID; FIELD_ALTERNATE_ID; FIELD_EVENT_TYPE; FIELD_ASSIGNMENT_ID; FIELD_CUSTOMER_ID; FIELD_AREA_ID; FIELD_ASSET_ID; FIELD_EVENT_DATE; FIELD_RECEIVED_DATE
sitewhere-2.1.0-0c184b5,com.sitewhere.event.persistence.cassandra,CassandraDeviceEventManagement,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
sitewhere-2.1.0-0c184b5,com.sitewhere.event.persistence.cassandra,CassandraDeviceLocation,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INSTANCE; FIELD_LOCATION; FIELD_LATITUDE; FIELD_LONGITUDE; FIELD_ELEVATION
sitewhere-2.1.0-0c184b5,com.sitewhere.event.persistence.cassandra,CassandraDeviceMeasurement,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INSTANCE; FIELD_MEASUREMENT; FIELD_MXNAME; FIELD_MXVALUE
sitewhere-2.1.0-0c184b5,com.sitewhere.event.persistence.cassandra,CassandraDeviceStateChange,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INSTANCE; FIELD_STATE_CHANGE; FIELD_ATTRIBUTE; FIELD_TYPE; FIELD_PREVIOUS_STATE; FIELD_NEW_STATE
sitewhere-2.1.0-0c184b5,com.sitewhere.event.persistence.influxdb,InfluxDbDeviceAlert,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ALERT_TYPE; ALERT_SOURCE; ALERT_LEVEL; ALERT_MESSAGE
sitewhere-2.1.0-0c184b5,com.sitewhere.event.persistence.influxdb,InfluxDbDeviceCommandInvocation,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CMD_INITIATOR; CMD_INITIATOR_ID; CMD_TARGET; CMD_TARGET_ID; CMD_COMMAND_ID; CMD_PARAMETER_VALUE_PREFIX
sitewhere-2.1.0-0c184b5,com.sitewhere.event.persistence.influxdb,InfluxDbDeviceCommandResponse,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: RSP_ORIGINATING_EVENT_ID; RSP_RESPONSE_EVENT_ID; RSP_RESPONSE
