Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
sitewhere-3.0.0-fc6441d,com.sitewhere.event.persistence.warp10,Warp10DeviceAlert,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_SOURCE; PROP_LEVEL; PROP_TYPE; PROP_MESSAGE
sitewhere-3.0.0-fc6441d,com.sitewhere.event.persistence.warp10,Warp10DeviceCommandInvocation,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_INITIATOR; PROP_INITIATOR_ID; PROP_TARGET; PROP_TARGET_ID; PROP_COMMAND_ID; PROP_PARAMETER_VALUES
sitewhere-3.0.0-fc6441d,com.sitewhere.event.persistence.warp10,Warp10DeviceCommandResponse,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_ORIGINATING_EVENT_ID; PROP_RESPONSE_EVENT_ID; PROP_RESPONSE
sitewhere-3.0.0-fc6441d,com.sitewhere.event.persistence.warp10,Warp10DeviceEvent,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_ID; PROP_ALTERNATE_ID; PROP_EVENT_TYPE; PROP_DEVICE_ID; PROP_DEVICE_ASSIGNMENT_ID; PROP_CUSTOMER_ID; PROP_AREA_ID; PROP_ASSET_ID; PROP_EVENT_DATE; PROP_RECEIVED_DATE
sitewhere-3.0.0-fc6441d,com.sitewhere.event.persistence.warp10,Warp10DeviceEventManagement,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
sitewhere-3.0.0-fc6441d,com.sitewhere.event.persistence.warp10,Warp10DeviceMeasurement,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_NAME; PROP_VALUE
sitewhere-3.0.0-fc6441d,com.sitewhere.event.persistence.warp10,Warp10DeviceStateChange,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROP_ATTRIBUTE; PROP_TYPE; PROP_PREVIOUS_STATE; PROP_NEW_STATE
sitewhere-3.0.0-fc6441d,com.sitewhere.sources.azure,EventHubInboundEventReceiver.EventProcessor,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-3.0.0-fc6441d,com.sitewhere.sources,DecodedInboundEventSource.NoOpDecoder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
sitewhere-3.0.0-fc6441d,com.sitewhere.sources,SocketTests,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SERVER_SOCKET_PORT
sitewhere-3.0.0-fc6441d,com.sitewhere.sources.configuration.eventsource.mqtt,MqttConfiguration,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_TOPIC; DEFAULT_NUM_THREADS; DEFAULT_QOS
sitewhere-3.0.0-fc6441d,com.sitewhere.sources.decoder.coap,CoapJsonDecoder,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: META_EVENT_TYPE; META_DEVICE_TOKEN
sitewhere-3.0.0-fc6441d,com.sitewhere.sources.manager,EventSourcesParser,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TYPE_ACTIVEMQ_BROKER; TYPE_ACTIVEMQ_CLIENT; TYPE_COAP; TYPE_EVENT_HUB; TYPE_MQTT; TYPE_RABBITMQ; DECODER_JSON; DECODER_PROTOBUF; DECODER_SCRIPTED
