Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
qbike-1-153cf1a,club.newtech.qbike.order.domain.service,SequenceFactory,generate,4,1,2,66,0,,
qbike-1-153cf1a,club.newtech.qbike.order.domain.service,SequenceFactory,generate,5,1,3,78,0,,
qbike-1-153cf1a,club.newtech.qbike.order.infrastructure,UserRibbonHystrixApi,findCustomerById,8,1,1,20,0,,
qbike-1-153cf1a,club.newtech.qbike.order.infrastructure,UserRibbonHystrixApi,findDriverById,8,1,1,36,0,,
qbike-1-153cf1a,club.newtech.qbike.order.infrastructure,UserRibbonHystrixApi,fallback,8,1,1,46,0,,
qbike-1-153cf1a,club.newtech.qbike.order.infrastructure,UserRibbonHystrixApi,fallbackDriver,8,1,1,61,0,,
qbike-1-153cf1a,club.newtech.qbike.order,OrderApplication,main,3,1,1,21,0,,
qbike-1-153cf1a,club.newtech.qbike.order,OrderApplication,container,7,1,3,25,0,,
qbike-1-153cf1a,club.newtech.qbike.order,OrderApplication,intentionListener,3,1,1,37,0,,
qbike-1-153cf1a,club.newtech.qbike.order,OrderApplication,positionListener,3,1,1,42,0,,
qbike-1-153cf1a,club.newtech.qbike.order,OrderApplication,receiver,3,1,1,46,0,,
qbike-1-153cf1a,club.newtech.qbike.order,OrderApplication,restTemplate,3,1,0,51,0,,
qbike-1-153cf1a,club.newtech.qbike.order,SpringAsyncConfig,taskExecutor,5,1,0,12,0,,
qbike-1-153cf1a,club.newtech.qbike.trip.controller,PositionController,positionUpdate,4,1,3,16,0,,
qbike-1-153cf1a,club.newtech.qbike.trip.domain.repository,DriverStatusRepo,findByDriver_Id,0,1,1,7,0,,
qbike-1-153cf1a,club.newtech.qbike.trip.domain.service,PositionService,updatePosition,32,2,3,34,0,,
qbike-1-153cf1a,club.newtech.qbike.trip.infrastructure,UserRibbonHystrixApi,findById,5,1,1,17,0,,
qbike-1-153cf1a,club.newtech.qbike.trip.infrastructure,UserRibbonHystrixApi,fallback,8,1,1,30,0,,
qbike-1-153cf1a,club.newtech.qbike.trip,PositionApplication,main,3,1,1,15,0,,
qbike-1-153cf1a,club.newtech.qbike.trip,PositionApplication,restTemplate,3,1,0,19,0,,
qbike-1-153cf1a,club.newtech.qbike.trip,SwaggerConfig,api,3,1,0,18,0,,
qbike-1-153cf1a,club.newtech.qbike.client.api,PositionApi,positionUpdate,4,1,3,12,0,,
qbike-1-153cf1a,club.newtech.qbike.client.api,UserApi,newUser,3,1,1,14,0,,
qbike-1-153cf1a,club.newtech.qbike.client.api,UserApi,newIntention,3,1,1,18,0,,
qbike-1-153cf1a,club.newtech.qbike.client,RestClientApplication,main,3,1,1,14,0,,
qbike-1-153cf1a,club.newtech.qbike.client,RestClientApplication,restTemplate,3,1,0,18,0,,
qbike-1-153cf1a,club.newtech.qbike.client,GeoPositionUpdateTest,positionUpdateClient,17,1,0,23,1,,
qbike-1-153cf1a,club.newtech.qbike.client,UserRequestIntention,myNewIntention,9,1,0,21,1,,
qbike-1-153cf1a,club.newtech.qbike.client,UserRequestIntention,testNewUser,7,1,0,34,1,,
qbike-1-153cf1a,club.newtech.qbike.uc,SwaggerConfig,api,3,1,0,18,0,,
qbike-1-153cf1a,club.newtech.qbike.uc,UcApplication,main,3,1,1,13,0,,
qbike-1-153cf1a,club.newtech.qbike.uc,TableTransfer,transfer,22,2,0,27,1,,
qbike-1-153cf1a,club.newtech.qbike.uc,UcApplicationTests,contextLoads,2,1,0,12,1,,
