Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
qbike-5-47301e2,club.newtech.qbike.order.util,SpringContextHolder,setApplicationContext,3,1,1,18,0,club.newtech.qbike.order.util.SpringContextHolder,club.newtech.qbike.order.util.SpringContextHolder
qbike-5-47301e2,club.newtech.qbike.order.util,SpringContextHolder,setApplicationContextWithStatic,3,1,1,23,0,,
qbike-5-47301e2,club.newtech.qbike.order.util,SpringContextHolder,getApplicationContext,3,1,0,28,0,,
qbike-5-47301e2,club.newtech.qbike.order.util,SpringContextHolder,getBean,3,1,1,32,0,,
qbike-5-47301e2,club.newtech.qbike.order.util,SpringContextHolder,getBean,3,1,1,43,0,,
qbike-5-47301e2,club.newtech.qbike.trip.controller,PositionController,positionUpdate,4,1,3,19,0,,
qbike-5-47301e2,club.newtech.qbike.trip.controller,PositionController,match,3,1,2,25,0,,
qbike-5-47301e2,club.newtech.qbike.trip.domain.repository,DriverStatusRepo,findByDriver_Id,0,1,1,7,0,,
qbike-5-47301e2,club.newtech.qbike.trip.domain.service,PositionService,updatePosition,30,2,3,42,0,,
qbike-5-47301e2,club.newtech.qbike.trip.domain.service,PositionService,matchDriver,13,2,2,77,0,,
qbike-5-47301e2,club.newtech.qbike.trip.infrastructure,UserRibbonHystrixApi,findById,5,1,1,17,0,,
qbike-5-47301e2,club.newtech.qbike.trip.infrastructure,UserRibbonHystrixApi,fallback,8,1,1,30,0,,
qbike-5-47301e2,club.newtech.qbike.trip,PositionApplication,main,3,1,1,15,0,,
qbike-5-47301e2,club.newtech.qbike.trip,PositionApplication,restTemplate,3,1,0,19,0,,
qbike-5-47301e2,club.newtech.qbike.client.api,PositionApi,positionUpdate,4,1,3,12,0,,
qbike-5-47301e2,club.newtech.qbike.client.api,UserApi,newUser,3,1,1,14,0,,
qbike-5-47301e2,club.newtech.qbike.client.api,UserApi,newIntention,3,1,1,18,0,,
qbike-5-47301e2,club.newtech.qbike.client,RestClientApplication,main,3,1,1,14,0,,
qbike-5-47301e2,club.newtech.qbike.client,RestClientApplication,restTemplate,3,1,0,18,0,,
qbike-5-47301e2,club.newtech.qbike.client,GeoPositionUpdateTest,positionUpdateClient,17,1,0,23,1,,
qbike-5-47301e2,club.newtech.qbike.client,UserRequestIntention,myNewIntention,9,1,0,21,1,,
qbike-5-47301e2,club.newtech.qbike.client,UserRequestIntention,testNewUser,7,1,0,34,1,,
qbike-5-47301e2,club.newtech.qbike.uc,UcApplication,main,3,1,1,13,0,,
qbike-5-47301e2,club.newtech.qbike.uc,TableTransfer,transfer,22,2,0,27,1,,
qbike-5-47301e2,club.newtech.qbike.uc,UcApplicationTests,contextLoads,2,1,0,12,1,,
